"id","Points:0","Points:1","Points:2"
0,0.60942,0.10085,-0.64219
1,0.65435,0.092836,-0.64295
2,0.60758,0.093191,-0.64897
3,0.63383,0.084461,-0.64447
4,0.63229,0.11385,-0.62543
5,0.65718,0.11174,-0.6309
6,0.64677,0.12539,-0.63082
7,0.51307,0.20356,-0.60528
8,0.55068,0.22167,-0.61615
9,0.5919,0.20992,-0.60529
10,0.69021,0.16283,-0.55216
11,0.53636,0.18089,-0.59007
12,0.57584,0.16851,-0.59019
13,0.62831,0.18127,-0.58839
14,0.68976,0.17665,-0.56315
15,0.51867,0.21884,-0.57379
16,0.53568,0.21575,-0.53949
17,0.59925,0.22412,-0.56379
18,0.65708,0.20006,-0.51794
19,0.55422,0.24549,-0.58599
20,0.49682,0.32352,-0.53189
21,0.53798,0.31337,-0.53194
22,-0.3401,1.5039,-0.51219
23,-0.26526,1.692,-0.57704
24,-0.36952,1.7072,-0.52795
25,-0.32575,1.6959,-0.51653
26,-0.26302,1.6926,-0.57747
27,-0.31474,1.8493,-0.57508
28,-0.53246,0.043637,-0.49031
29,-0.47245,0.036431,-0.50722
30,-0.42458,0.034528,-0.50804
31,-0.37363,0.044439,-0.49667
32,-0.56031,0.084477,-0.50279
33,-0.49878,0.072041,-0.51722
34,-0.4507,0.076768,-0.53355
35,-0.39972,0.078327,-0.52951
36,-0.3447,0.083019,-0.52037
37,-1.1494,0.1237,-0.48719
38,-1.1073,0.13626,-0.485
39,-0.69816,0.1342,-0.47457
40,-0.64439,0.12447,-0.48604
41,-0.59345,0.12396,-0.49515
42,-0.5361,0.12908,-0.49969
43,-0.47914,0.12903,-0.5094
44,-0.43012,0.12846,-0.52018
45,-0.36097,0.12304,-0.52055
46,-0.31037,0.12338,-0.49798
47,-1.14,0.16703,-0.49862
48,-0.38826,0.15509,-0.50847
49,-0.33406,0.17655,-0.51823
50,-0.30098,0.1769,-0.50822
51,0.57893,0.19078,-0.54982
52,0.64392,0.17682,-0.52761
53,0.69007,0.1609,-0.51828
54,0.72037,0.17679,-0.51551
55,-0.41407,0.22784,-0.48408
56,-0.36115,0.23082,-0.49916
57,-0.3121,0.23037,-0.50269
58,0.54212,0.22727,-0.49826
59,0.59505,0.21835,-0.5014
60,0.66209,0.24271,-0.50294
61,0.71284,0.23217,-0.49531
62,0.75548,0.23003,-0.48088
63,0.478,0.28764,-0.5161
64,0.5118,0.26695,-0.52798
65,0.55848,0.26728,-0.53221
66,0.46295,0.31369,-0.5052
67,0.48048,0.33972,-0.49413
68,0.55116,0.3341,-0.49956
69,0.59109,0.30891,-0.4861
70,0.51239,0.34833,-0.51593
71,-0.42264,1.5177,-0.49156
72,-0.38225,1.511,-0.50496
73,-0.35338,1.5188,-0.502
74,-0.4755,1.604,-0.49665
75,-0.43084,1.6049,-0.51498
76,-0.37722,1.6054,-0.50077
77,-0.40227,1.6425,-0.51758
78,-0.34482,1.6356,-0.52389
79,-0.33547,1.6612,-0.51634
80,-0.52249,1.7065,-0.4769
81,-0.47849,1.7093,-0.49411
82,-0.4264,1.7015,-0.5049
83,-0.37079,1.7083,-0.48448
84,-0.32739,1.71,-0.51647
85,-0.4486,1.7388,-0.51106
86,-0.40234,1.7451,-0.52068
87,-0.35988,1.7419,-0.51591
88,-0.47311,1.8078,-0.47127
89,-0.42684,1.805,-0.47472
90,-0.40223,1.7675,-0.50116
91,-0.38161,1.8131,-0.50958
92,-0.37539,1.8194,-0.51934
93,-0.59296,0.045059,-0.44951
94,-0.53881,0.03522,-0.44428
95,-0.48006,0.035359,-0.44904
96,-0.42297,0.032727,-0.45039
97,-0.36603,0.038844,-0.45296
98,-0.67442,0.083139,-0.46179
99,-0.62793,0.072931,-0.47711
100,-0.58474,0.060735,-0.48737
101,-0.50865,0.081167,-0.47658
102,-0.44838,0.077869,-0.48194
103,-0.39217,0.082999,-0.48052
104,-0.32816,0.075668,-0.47388
105,-1.1589,0.12594,-0.4408
106,-1.1097,0.12538,-0.44253
107,-1.0642,0.14231,-0.44302
108,-0.80928,0.14699,-0.42504
109,-0.76286,0.12889,-0.4419
110,-0.72221,0.111,-0.45858
111,-0.65141,0.12317,-0.44473
112,-0.59381,0.12536,-0.4495
113,-0.53787,0.13007,-0.45053
114,-0.47901,0.13221,-0.45374
115,-0.42284,0.13113,-0.45318
116,-0.35806,0.12494,-0.44997
117,-0.29615,0.12021,-0.44714
118,-1.1691,0.16014,-0.47259
119,-1.1311,0.19188,-0.46953
120,-1.0819,0.17679,-0.48176
121,-1.0306,0.17691,-0.46409
122,-0.78177,0.17686,-0.45265
123,-0.73368,0.17109,-0.4632
124,-0.67742,0.1736,-0.46889
125,-0.62216,0.17311,-0.47395
126,-0.56493,0.1747,-0.47728
127,-0.51101,0.17565,-0.47629
128,-0.45476,0.17692,-0.48132
129,-0.40507,0.18479,-0.48753
130,-0.33705,0.17468,-0.47148
131,-0.27737,0.16998,-0.46727
