".\VolumeSampling.exe -i .\Dragon_50k.obj -o Dragon_50k.vtk --viscosity 0.05 -r 0.04 -s "2.5 2.5 2.5""
"id","Points:0","Points:1","Points:2"
0,0.63033,0.096643,-0.63929
1,0.64175,0.11059,-0.63259
2,0.58321,0.17716,-0.58903
3,0.61462,0.18263,-0.58496
4,0.69257,0.17733,-0.54716
5,0.52971,0.2053,-0.59538
6,-0.56329,0.057593,-0.47714
7,-0.49781,0.058316,-0.49675
8,-0.4503,0.045643,-0.51515
9,-0.36807,0.052472,-0.47897
10,-0.44425,0.10461,-0.51804
11,-0.39881,0.071345,-0.51709
12,-1.1465,0.17893,-0.47718
13,-1.0865,0.17509,-0.47138
14,-0.59958,0.13675,-0.4805
15,-0.54058,0.16361,-0.47231
16,-0.40095,0.14537,-0.50139
17,-0.35327,0.17119,-0.49922
18,-0.30829,0.17632,-0.4992
19,0.65832,0.17542,-0.51595
20,0.70333,0.17984,-0.50494
21,0.53745,0.23571,-0.53566
22,0.57622,0.22623,-0.5679
23,0.48011,0.32036,-0.49877
24,0.50447,0.28204,-0.51468
25,0.55994,0.30801,-0.49847
26,-0.38286,1.5242,-0.49606
27,-0.46503,1.6012,-0.49026
28,-0.41854,1.6227,-0.5093
29,-0.37415,1.6335,-0.50636
30,-0.34471,1.6883,-0.51321
31,-0.47095,1.7313,-0.48609
32,-0.42957,1.7194,-0.50263
33,-0.35463,1.7238,-0.51571
34,-0.39594,1.7408,-0.50812
35,-0.65286,0.079274,-0.44386
36,-0.58443,0.053948,-0.43409
37,-0.50471,0.04528,-0.43855
38,-0.43233,0.043138,-0.45415
39,-0.36814,0.056615,-0.43453
40,-1.1501,0.13153,-0.47162
41,-1.1086,0.13966,-0.46524
42,-0.70128,0.10985,-0.45586
43,-0.62467,0.093938,-0.47922
44,-0.54186,0.10236,-0.49416
45,-0.48397,0.13125,-0.49423
46,-0.34626,0.093663,-0.51475
47,-0.3158,0.11571,-0.4761
48,-1.1718,0.16113,-0.40662
49,-1.0665,0.1878,-0.42776
50,-1.0263,0.1768,-0.44889
51,-0.98454,0.17933,-0.41907
52,-0.86132,0.18232,-0.41324
53,-0.80884,0.17732,-0.43466
54,-0.73466,0.16935,-0.45274
55,-0.67029,0.1598,-0.46516
56,-0.61052,0.18916,-0.4542
57,-0.50271,0.20136,-0.4443
58,-0.44124,0.17326,-0.46082
59,-0.35937,0.17771,-0.41711
60,-0.27939,0.16471,-0.44284
61,0.73298,0.20005,-0.45817
62,0.79368,0.201,-0.42517
63,-0.62188,0.25814,-0.44176
64,-0.56106,0.23385,-0.44174
65,-0.423,0.23129,-0.46336
66,-0.37701,0.24173,-0.4834
67,-0.31647,0.23985,-0.48982
68,-0.26796,0.22704,-0.44921
69,0.54206,0.2489,-0.47751
70,0.60239,0.2279,-0.48796
71,0.67061,0.23819,-0.48845
72,0.75425,0.24298,-0.46735
73,-0.78571,0.33439,-0.4292
74,-0.72507,0.30145,-0.43242
75,-0.66362,0.3114,-0.43705
76,-0.59964,0.30021,-0.42109
77,-0.34897,0.26825,-0.45626
78,-0.27992,0.29971,-0.44003
