".\VolumeSampling.exe -i .\sphere.obj -o sphere.vtk --viscosity 0.05 -r 0.03 -s "0.74 0.74 0.74""
"id","Points:0","Points:1","Points:2"
0,-0.099881,-0.10382,-0.68547
1,-0.046132,-0.10411,-0.69401
2,-4.2442e-05,-0.11316,-0.70026
3,0.047253,-0.10434,-0.69381
4,0.10072,-0.10342,-0.68538
5,-0.096181,-0.012286,-0.69334
6,-0.044814,-0.012599,-0.70146
7,-6.4489e-05,-0.014499,-0.70842
8,0.04582,-0.013365,-0.70124
9,0.097314,-0.010829,-0.69328
10,-0.09651,0.076219,-0.68829
11,-0.046474,0.071307,-0.69659
12,-4.0892e-05,0.085884,-0.70292
13,0.047664,0.072561,-0.69631
14,0.098197,0.074963,-0.68812
15,0.00026007,0.14786,-0.69204
16,-0.054054,-0.30285,-0.63169
17,0.00014849,-0.30717,-0.63855
18,0.054573,-0.30075,-0.63244
19,-0.020731,-0.22826,-0.66785
20,0.027244,-0.22551,-0.66786
21,-0.206,-0.23543,-0.63465
22,-0.16176,-0.22389,-0.64724
23,-0.11302,-0.22715,-0.65369
24,-0.066443,-0.22848,-0.66052
25,1.2333e-05,-0.19139,-0.68153
26,0.071209,-0.23023,-0.65904
27,0.11681,-0.22656,-0.65332
28,0.16445,-0.22196,-0.6475
29,0.20745,-0.23503,-0.6344
30,-0.19066,-0.15427,-0.66024
31,-0.12418,-0.18132,-0.66423
32,-0.069086,-0.18556,-0.67195
33,-0.027524,-0.15452,-0.68603
34,0.029203,-0.15588,-0.68543
35,0.071458,-0.18569,-0.67155
36,0.12687,-0.18058,-0.66398
37,0.19036,-0.15483,-0.66015
38,-0.25898,-0.11294,-0.6443
39,-0.21768,-0.11727,-0.66333
40,-0.16742,-0.11315,-0.67371
41,-0.13071,-0.13607,-0.6741
42,-0.075538,-0.14085,-0.68169
43,0.0030748,-0.12035,-0.6498
44,0.076777,-0.14077,-0.68151
45,0.1318,-0.1358,-0.67399
46,0.16866,-0.11304,-0.67353
47,0.2183,-0.11744,-0.66309
48,0.25961,-0.11303,-0.64397
49,-0.22689,-0.068662,-0.66492
50,-0.18244,-0.070317,-0.67501
51,-0.1286,-0.068789,-0.68374
52,-0.073759,-0.059426,-0.69317
53,-0.021755,-0.062447,-0.70119
54,0.023449,-0.062934,-0.70088
55,0.075392,-0.059147,-0.69293
56,0.13052,-0.069312,-0.68339
57,0.18498,-0.070502,-0.67462
